,Unnamed: 0,상가업소번호,상권업종대분류명,상권업종중분류명,상권업종소분류명,지번주소,도로명주소,위도,경도
6657,226923,15834332,소매,종합소매점,편의점,서울특별시 노원구 상계동 1078,서울특별시 노원구 동일로231길 86,37.67172625,127.0498691
6658,226994,14353602,소매,종합소매점,편의점,서울특별시 금천구 시흥동 992-2,서울특별시 금천구 시흥대로59길 35,37.45278343,126.8986049
6659,227019,23504327,소매,종합소매점,편의점,서울특별시 은평구 구산동 10-34,서울특별시 은평구 서오릉로13길 30,37.61058478,126.9124331
6660,227026,23131599,소매,종합소매점,편의점,서울특별시 구로구 고척동 172-47,서울특별시 구로구 경서로 79,37.50394248,126.8603497
6661,227053,16398300,소매,종합소매점,편의점,서울특별시 서초구 양재동 89,서울특별시 서초구 논현로27길 47,37.47952061,127.0416008
6662,227058,22368916,소매,종합소매점,편의점,서울특별시 동대문구 용두동 102-117,서울특별시 동대문구 천호대로17길 38,37.57573231,127.0324443
6663,227100,22847068,소매,종합소매점,편의점,서울특별시 광진구 능동 223-32,서울특별시 광진구 능동로36길 22,37.55590392,127.0802479
6664,227111,24927885,소매,종합소매점,편의점,서울특별시 구로구 구로동 503-24,서울특별시 구로구 구로동로42길 60-3,37.49848432,126.8841707
6665,227170,23013422,소매,종합소매점,편의점,서울특별시 중구 광희동2가 180,서울특별시 중구 퇴계로 340,37.56425869,127.0092298
6666,227214,20732407,소매,종합소매점,편의점,서울특별시 강서구 염창동 289,서울특별시 강서구 양천로67길 32,37.55504992,126.8688411
6667,227224,24903343,소매,종합소매점,편의점,서울특별시 동작구 상도동 361-154,서울특별시 동작구 상도로15길 73,37.50378485,126.9351906
6668,227294,23392926,소매,종합소매점,편의점,서울특별시 마포구 서교동 448-25,서울특별시 마포구 동교로17안길 51,37.55656266,126.9187419
6669,227424,23598706,소매,종합소매점,편의점,서울특별시 성동구 성수동2가 648-17,서울특별시 성동구 둘레15길 12,37.53577895,127.0557039
6670,227508,28136319,소매,종합소매점,편의점,서울특별시 도봉구 쌍문동 122-53,서울특별시 도봉구 도봉로113길 54,37.64841794,127.0312075
6671,227551,14356387,소매,종합소매점,편의점,서울특별시 송파구 잠실동 175,서울특별시 송파구 백제고분로 69,37.51052638,127.0790291
6672,227594,16307202,소매,종합소매점,편의점,서울특별시 영등포구 신길동 157-41,서울특별시 영등포구 도신로54길 11-3,37.51048694,126.9151992
6673,227595,16306586,소매,종합소매점,편의점,서울특별시 구로구 고척동 250-109,서울특별시 구로구 고척로33길 106,37.50716534,126.8470562
6674,227623,16310432,소매,종합소매점,편의점,서울특별시 강서구 공항동 55-156,서울특별시 강서구 공항대로8길 55,37.55857745,126.8124116
6675,227678,16308369,소매,종합소매점,편의점,서울특별시 강서구 과해동 676,서울특별시 강서구 하늘길 70,37.56198289,126.7963528
6676,227717,23518304,소매,종합소매점,편의점,서울특별시 금천구 시흥동 228-30,서울특별시 금천구 탑골로 43,37.45206036,126.9139414
6677,227734,16308522,소매,종합소매점,편의점,서울특별시 성동구 성수동2가 252-2,서울특별시 성동구 연무장길 118,37.54026164,127.0619163
6678,227735,16308517,소매,종합소매점,편의점,서울특별시 성동구 성수동1가 22-5,서울특별시 성동구 성수일로 39,37.54423298,127.0492375
6679,227736,16308511,소매,종합소매점,편의점,서울특별시 서대문구 냉천동 40-1,서울특별시 서대문구 독립문로14길 8,37.56705669,126.9636084
6680,227737,16308482,소매,종합소매점,편의점,서울특별시 서대문구 홍제동 459,서울특별시 서대문구 통일로34길 43,37.58832518,126.948775
6681,227760,16308480,소매,종합소매점,편의점,서울특별시 서대문구 홍은동 460,서울특별시 서대문구 홍은중앙로 149,37.60389092,126.9472989
6682,227761,16308493,소매,종합소매점,편의점,서울특별시 서대문구 홍은동 201-1,서울특별시 서대문구 연희로 353,37.58952622,126.9350006
6683,227762,16308492,소매,종합소매점,편의점,서울특별시 서대문구 홍은동 265-180,서울특별시 서대문구 연희로39나길 3,37.58654041,126.9316351
6684,227763,16308490,소매,종합소매점,편의점,서울특별시 도봉구 창동 820,서울특별시 도봉구 도봉로136나길 40,37.65630945,127.0442742
6685,227764,16308054,소매,종합소매점,편의점,서울특별시 양천구 신월동 523-15,서울특별시 양천구 남부순환로73길 11,37.52012908,126.8394697
6686,227797,24342970,소매,종합소매점,편의점,서울특별시 광진구 능동 256-4,서울특별시 광진구 천호대로 650,37.55271716,127.0887639
6687,227872,23498916,소매,종합소매점,편의점,서울특별시 강동구 성내동 463,서울특별시 강동구 성내로6가길 38,37.5273046,127.1241119
6688,227879,16308053,소매,종합소매점,편의점,서울특별시 양천구 신월동 425-1,서울특별시 양천구 월정로9길 13,37.52496179,126.8397908
6689,227880,16308051,소매,종합소매점,편의점,서울특별시 성북구 정릉동 904,서울특별시 성북구 정릉로10길 80,37.60640356,126.998931
6690,227881,16308050,소매,종합소매점,편의점,서울특별시 종로구 누상동 165-1,서울특별시 종로구 필운대로5나길 45-2,37.580114,126.965805
6691,227882,16307994,소매,종합소매점,편의점,서울특별시 중구 쌍림동 148-2,서울특별시 중구 퇴계로 290,37.5633035,127.0038658
6692,227894,16309045,소매,종합소매점,편의점,서울특별시 강동구 천호동 313-4,서울특별시 강동구 올림픽로88길 36,37.5461314,127.1282712
6693,227895,16309062,소매,종합소매점,편의점,서울특별시 강남구 청담동 15-5,서울특별시 강남구 삼성로147길 34,37.52079325,127.0465824
6694,227910,23407537,소매,종합소매점,편의점,서울특별시 종로구 누상동 166-118,서울특별시 종로구 옥인6길 5,37.58189444,126.9643651
6695,227912,16306428,소매,종합소매점,편의점,서울특별시 종로구 구기동 85-25,서울특별시 종로구 진흥로 435,37.60836788,126.9573158
6696,227968,27977796,소매,종합소매점,편의점,서울특별시 강동구 길동 379-14,서울특별시 강동구 양재대로113길 14,37.53815633,127.1392268
6697,228004,19973196,소매,종합소매점,편의점,서울특별시 용산구 서계동 219-1,서울특별시 용산구 청파로 395,37.55485633,126.9687233
6698,228046,16308041,소매,종합소매점,편의점,서울특별시 은평구 역촌동 34-34,서울특별시 은평구 연서로4길 17,37.60267783,126.9177803
6699,228047,16308065,소매,종합소매점,편의점,서울특별시 종로구 서린동 33,서울특별시 종로구 청계천로 41,37.56965992,126.9821598
6700,228048,16308064,소매,종합소매점,편의점,서울특별시 은평구 응암동 121-1,서울특별시 은평구 응암로29길 15-2,37.59666387,126.9173352
6701,228049,16308038,소매,종합소매점,편의점,서울특별시 은평구 불광동 146-5,서울특별시 은평구 연서로34길 33,37.62202232,126.9295642
6702,228050,16308060,소매,종합소매점,편의점,서울특별시 은평구 진관동 11,서울특별시 은평구 진관4로 48-50,37.6431931,126.9291925
6703,228051,16308055,소매,종합소매점,편의점,서울특별시 양천구 신정동 171-25,서울특별시 양천구 목동남로4길 56,37.50920926,126.8673955
6704,228052,16308031,소매,종합소매점,편의점,서울특별시 양천구 목동 772-5,서울특별시 양천구 목동중앙남로 5,37.53502289,126.869155
6705,228128,27712684,소매,종합소매점,편의점,서울특별시 영등포구 영등포동7가 94-186,서울특별시 영등포구 버드나루로7길 12-22,37.5241157,126.9088928
6706,228135,16309611,소매,종합소매점,편의점,서울특별시 서초구 방배동 2877-13,서울특별시 서초구 전원말4길 2,37.46599156,126.9891966
6707,228156,15816100,소매,종합소매점,편의점,서울특별시 용산구 동빙고동 42-4,서울특별시 용산구 서빙고로91나길 72,37.52404554,126.9964915
6708,228439,24341434,소매,종합소매점,편의점,서울특별시 중구 봉래동2가 122,서울특별시 중구 청파로 426,37.55744002,126.9694912
6709,228464,19965453,소매,종합소매점,편의점,서울특별시 용산구 원효로2가 80-19,서울특별시 용산구 원효로53길 8,37.53601167,126.9621147
6710,228473,20903795,소매,종합소매점,편의점,서울특별시 노원구 월계동 287-3,서울특별시 노원구 월계로 339,37.62971249,127.0579155
6711,228520,22568283,소매,종합소매점,편의점,서울특별시 강서구 염창동 275-8,서울특별시 강서구 공항대로65길 26,37.55008192,126.8684974
6712,228528,8781259,소매,종합소매점,편의점,서울특별시 송파구 방이동 49-5,서울특별시 송파구 오금로11길 59,37.51527786,127.1135626
6713,228617,20658314,소매,종합소매점,편의점,서울특별시 성북구 정릉동 227-43,서울특별시 성북구 서경로 86,37.61086766,127.0143882
6714,228695,24656379,소매,종합소매점,편의점,서울특별시 금천구 가산동 494-4,서울특별시 금천구 가산디지털2로 169-31,37.48195608,126.8762418
6715,228799,26206799,소매,종합소매점,편의점,서울특별시 구로구 구로동 80-24,서울특별시 구로구 가마산로 218,37.49320415,126.88512
6716,228866,23287152,소매,종합소매점,편의점,서울특별시 광진구 광장동 148-4,서울특별시 광진구 아차산로78길 10,37.54981464,127.1086835
6717,228939,15816902,소매,종합소매점,편의점,서울특별시 강동구 길동 325-7,서울특별시 강동구 천중로51길 74,37.54404767,127.1452133
6718,229320,16405284,소매,종합소매점,편의점,서울특별시 구로구 오류동 6-303,서울특별시 구로구 경인로 176-4,37.49445256,126.840704
6719,229328,20455629,소매,종합소매점,편의점,서울특별시 도봉구 창동 815,서울특별시 도봉구 도봉로136길 111,37.66163341,127.0463595
6720,229476,24519025,소매,종합소매점,편의점,서울특별시 금천구 가산동 345-13,서울특별시 금천구 가산디지털1로 83,37.47321107,126.8842865
6721,229513,22534017,소매,종합소매점,편의점,서울특별시 강남구 논현동 273-13,서울특별시 강남구 봉은사로43길 21,37.51056193,127.0393716
6722,229638,16320025,소매,종합소매점,편의점,서울특별시 송파구 송파동 29,서울특별시 송파구 백제고분로41길 40,37.50916704,127.1061696
6723,229673,16172875,소매,종합소매점,편의점,서울특별시 노원구 월계동 505-2,서울특별시 노원구 광운로1길 60,37.62036314,127.0549636
6724,229684,12624700,소매,종합소매점,편의점,서울특별시 강서구 마곡동 725-1,서울특별시 강서구 마곡중앙3로 74,37.5647014,126.8183927
6725,229750,24429093,소매,종합소매점,편의점,서울특별시 중랑구 망우동 466-11,서울특별시 중랑구 용마산로 521,37.59751368,127.1000405
6726,229814,14349372,소매,종합소매점,편의점,서울특별시 노원구 상계동 1128,서울특별시 노원구 동일로246길 39,37.67707389,127.0571695
6727,229857,14292433,소매,종합소매점,편의점,서울특별시 양천구 신월동 126-53,서울특별시 양천구 곰달래로5길 5,37.53024231,126.8343462
6728,229861,28045139,소매,종합소매점,편의점,서울특별시 마포구 상암동 21-3,서울특별시 마포구 매봉산로2길 45,37.57733638,126.8959011
6729,229862,10647147,소매,종합소매점,편의점,서울특별시 광진구 광장동 577,서울특별시 광진구 아차산로 549,37.54334639,127.1017218
6730,229992,20384908,소매,종합소매점,편의점,서울특별시 노원구 상계동 761-1,서울특별시 노원구 동일로 1342,37.64857638,127.063094
6731,229999,25090297,소매,종합소매점,편의점,서울특별시 마포구 아현동 346-33,서울특별시 마포구 신촌로30길 5,37.55672013,126.9521958
6732,230006,14300262,소매,종합소매점,편의점,서울특별시 성북구 안암동5가 101-28,서울특별시 성북구 개운사길 14,37.58699775,127.0294452
6733,230065,14350272,소매,종합소매점,편의점,서울특별시 서초구 반포동 19-2,서울특별시 서초구 반포대로 284,37.5046459,127.0018069
6734,230145,22506385,소매,종합소매점,편의점,서울특별시 송파구 거여동 290-1,서울특별시 송파구 양산로 14,37.490235,127.1437801
6735,230184,26167741,소매,종합소매점,편의점,서울특별시 서초구 방배동 2133,서울특별시 서초구 동광로 9,37.49101471,126.9840422
6736,230236,5152314,소매,종합소매점,편의점,서울특별시 금천구 독산동 961,서울특별시 금천구 독산로 348,37.47787277,126.9038899
6737,230346,24975814,소매,종합소매점,편의점,서울특별시 강북구 번동 414-9,서울특별시 강북구 한천로129길 33,37.636613,127.0288455
6738,230523,14360698,소매,종합소매점,편의점,서울특별시 강남구 역삼동 779,서울특별시 강남구 언주로69길 7,37.49642261,127.0447097
6739,230787,25117169,소매,종합소매점,편의점,서울특별시 도봉구 쌍문동 261,서울특별시 도봉구 시루봉로 64,37.65647454,127.0280882
6740,230847,16171694,소매,종합소매점,편의점,서울특별시 노원구 상계동 1139-2,서울특별시 노원구 동일로243길 29,37.67842191,127.0533547
6741,230848,16171706,소매,종합소매점,편의점,서울특별시 노원구 상계동 936-2,서울특별시 노원구 수락산로 232,37.67105723,127.0529495
6742,230895,20085510,소매,종합소매점,편의점,서울특별시 강남구 역삼동 708-26,서울특별시 강남구 선릉로 431,37.5034231,127.049088
6743,230962,19990979,소매,종합소매점,편의점,서울특별시 성북구 길음동 1286,서울특별시 성북구 길음로9길 50,37.60268661,127.0209288
6744,230978,4215787,소매,종합소매점,편의점,서울특별시 서초구 서초동 1357-66,서울특별시 서초구 강남대로 275,37.48789404,127.0319727
6745,231112,16315927,소매,종합소매점,편의점,서울특별시 강서구 화곡동 1125,서울특별시 강서구 공항대로 432,37.55452846,126.8549396
6746,231169,14366300,소매,종합소매점,편의점,서울특별시 금천구 시흥동 848,서울특별시 금천구 독산로35길 13,37.45796518,126.904497
6747,231204,16315344,소매,종합소매점,편의점,서울특별시 구로구 항동 135-58,서울특별시 구로구 연동로12길 76,37.47947045,126.8263278
6748,231365,4270470,소매,종합소매점,편의점,서울특별시 광진구 화양동 302-13,서울특별시 광진구 광나루로 460,37.54511072,127.0804258
6749,231499,16404419,소매,종합소매점,편의점,서울특별시 구로구 오류동 46-1,서울특별시 구로구 경인로20나길 30,37.4948437,126.8419984
6750,231500,16403665,소매,종합소매점,편의점,서울특별시 광진구 자양동 807-7,서울특별시 광진구 아차산로40길 62,37.53495102,127.0774955
6751,231507,16237807,소매,종합소매점,편의점,서울특별시 영등포구 당산동4가 80,서울특별시 영등포구 당산로41길 11,37.53067941,126.8986598
6752,231508,16237698,소매,종합소매점,편의점,서울특별시 송파구 오금동 615,서울특별시 송파구 양재대로72길 5,37.50993911,127.1274819
6753,231509,16237107,소매,종합소매점,편의점,서울특별시 구로구 구로동 125-66,서울특별시 구로구 도림천로 352,37.49342495,126.8942314
6754,231510,16236573,소매,종합소매점,편의점,서울특별시 송파구 잠실동 8,서울특별시 송파구 올림픽로 265,37.51331236,127.1002947
6755,231635,16317530,소매,종합소매점,편의점,서울특별시 동작구 신대방동 395-62,서울특별시 동작구 보라매로5길 23,37.49256999,126.9236117
6756,231881,16318058,소매,종합소매점,편의점,서울특별시 강남구 대치동 898-4,서울특별시 강남구 선릉로 416,37.5020549,127.0503834
6757,231882,16317957,소매,종합소매점,편의점,서울특별시 강남구 세곡동 615,서울특별시 강남구 헌릉로569길 21-30,37.46635221,127.1007108
6758,231883,16317878,소매,종합소매점,편의점,서울특별시 구로구 개봉동 351-26,서울특별시 구로구 개봉로11길 35,37.48787053,126.8541034
6759,231899,16236028,소매,종합소매점,편의점,서울특별시 중랑구 면목동 461-21,서울특별시 중랑구 사가정로53길 24,37.58171692,127.0892824
6760,231926,25035079,소매,종합소매점,편의점,서울특별시 서대문구 북가좌동 306-22,서울특별시 서대문구 응암로 68,37.57898014,126.9108664
6761,231966,24665304,소매,종합소매점,편의점,서울특별시 영등포구 당산동 121-131,서울특별시 영등포구 버드나루로 95,37.52665212,126.9084033
6762,232041,23291664,소매,종합소매점,편의점,서울특별시 광진구 자양동 829,서울특별시 광진구 능동로 19,37.53314931,127.0672214
6763,232055,16315535,소매,종합소매점,편의점,서울특별시 구로구 항동 16-3,서울특별시 구로구 연동로13길 56,37.48537629,126.8194963
6764,232118,16368552,소매,종합소매점,편의점,서울특별시 송파구 가락동 479,서울특별시 송파구 송파대로 345,37.49761455,127.1024848
6765,232203,16314547,소매,종합소매점,편의점,서울특별시 영등포구 대림동 990-2,서울특별시 영등포구 시흥대로 635,37.48884815,126.9059006
6766,232331,20871531,소매,종합소매점,편의점,서울특별시 관악구 봉천동 196-129,서울특별시 관악구 낙성대역8길 1,37.47447183,126.9633507
6767,232384,20471557,소매,종합소매점,편의점,서울특별시 금천구 가산동 715,서울특별시 금천구 범안로 1138,37.46578893,126.888376
6768,232466,16228463,소매,종합소매점,편의점,서울특별시 강동구 천호동 397-170,서울특별시 강동구 진황도로 32,37.53871443,127.1305414
6769,232528,16315696,소매,종합소매점,편의점,서울특별시 구로구 개봉동 416-26,서울특별시 구로구 경인로31길 80,37.50075964,126.8489755
6770,232545,20673194,소매,종합소매점,편의점,서울특별시 동대문구 용두동 255-53,서울특별시 동대문구 청계천로 509,37.57116087,127.0331601
6771,232676,28430995,소매,종합소매점,편의점,서울특별시 동대문구 이문동 264-12,서울특별시 동대문구 천장산로6길 8,37.59885878,127.0587803
6772,232942,16294746,소매,종합소매점,편의점,서울특별시 서초구 내곡동 133,서울특별시 서초구 헌릉로8길 45,37.45468409,127.0625341
6773,232979,16294595,소매,종합소매점,편의점,서울특별시 송파구 가락동 49-10,서울특별시 송파구 오금로36길 69-14,37.49773883,127.1214151
6774,233036,14237136,소매,종합소매점,편의점,서울특별시 서초구 잠원동 63-34,서울특별시 서초구 신반포로33길 62,37.51319305,127.0088419
6775,233057,14238688,소매,종합소매점,편의점,서울특별시 금천구 시흥동 805-53,서울특별시 금천구 독산로36길 45,37.46010654,126.9070769
6776,233149,24683897,소매,종합소매점,편의점,서울특별시 도봉구 방학동 272,서울특별시 도봉구 방학로 193,37.66092385,127.0278715
6777,233168,14235832,소매,종합소매점,편의점,서울특별시 성동구 금호동4가 800,서울특별시 성동구 독서당로 272,37.54531915,127.0179112
6778,233336,14238601,소매,종합소매점,편의점,서울특별시 동작구 상도동 359-20,서울특별시 동작구 상도로15길 106,37.50442895,126.9366744
6779,233372,14321069,소매,종합소매점,편의점,서울특별시 강북구 미아동 134-94,서울특별시 강북구 도봉로 132,37.62075348,127.0286894
6780,233517,21829274,소매,종합소매점,편의점,서울특별시 용산구 이촌동 300-322,서울특별시 용산구 이촌로 274,37.51868909,126.9770946
6781,233524,20010814,소매,종합소매점,편의점,서울특별시 강북구 수유동 252-122,서울특별시 강북구 노해로 95-1,37.644195,127.0228205
6782,233645,16391844,소매,종합소매점,편의점,서울특별시 은평구 대조동 33-2,서울특별시 은평구 진흥로13길 13-4,37.60944656,126.9248969
6783,234039,26205449,소매,종합소매점,편의점,서울특별시 성북구 하월곡동 88-510,서울특별시 성북구 동소문로46길 18,37.60677108,127.0299925
6784,234071,25185447,소매,종합소매점,편의점,서울특별시 송파구 문정동 634,서울특별시 송파구 충민로 66,37.47760822,127.124941
6785,234093,24589118,소매,종합소매점,편의점,서울특별시 구로구 천왕동 27,서울특별시 구로구 천왕로 9,37.47902378,126.8422426
