,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
924,B000008129,선정중학교,중학교,서울특별시 은평구 갈현동 227-5,서울특별시 은평구 서오릉로20길 19,37.61870451,126.9090316
926,B000008315,월촌중학교,중학교,서울특별시 양천구 목동 909,서울특별시 양천구 목동서로 31,37.53706518,126.8827588
930,B000008119,불광중학교,중학교,서울특별시 은평구 불광동 173,서울특별시 은평구 불광로 180,37.62320355,126.9321291
937,B000008187,양화중학교,중학교,서울특별시 영등포구 문래동3가 48,서울특별시 영등포구 당산로 56,37.5196596,126.8959945
938,B000008198,효문중학교,중학교,서울특별시 도봉구 쌍문동 468,서울특별시 도봉구 우이천로 432,37.65269871,127.0184005
941,B000008424,광남중학교,중학교,서울특별시 광진구 광장동 554-15,서울특별시 광진구 아차산로70길 17-62,37.54083041,127.1016205
942,B000008280,일신여자중학교,중학교,서울특별시 송파구 송파동 99-2,서울특별시 송파구 송파대로38길 8,37.50177714,127.1142413
944,B000008451,수송중학교,중학교,서울특별시 강북구 번동 456-1,서울특별시 강북구 한천로122길 21,37.63680065,127.0339176
945,B000008241,덕수중학교,중학교,서울특별시 중구 인현동2가 3,서울특별시 중구 마른내로9길 10,37.56557957,126.9969973
950,B000008126,숭실중학교,중학교,서울특별시 은평구 신사동 300-88,서울특별시 은평구 은평터널로7길 6,37.59327482,126.9024039
951,B000008262,잠신중학교,중학교,서울특별시 송파구 잠실동 22-1,서울특별시 송파구 잠실로 12,37.51613937,127.087802
955,B000008100,동원중학교,중학교,서울특별시 중랑구 망우동 85-3,서울특별시 중랑구 양원역로 32,37.60380725,127.1094981
960,B000008363,도곡중학교,중학교,서울특별시 강남구 도곡동 541-2,서울특별시 강남구 언주로57길 31,37.49230771,127.0452179
966,B000008116,신도중학교,중학교,서울특별시 은평구 진관동 208,서울특별시 은평구 진관1로 77-30,37.63298366,126.9308787
970,B000008124,연서중학교,중학교,서울특별시 은평구 증산동 193-21,서울특별시 은평구 증산서길 125-6,37.58704446,126.9092766
976,B000022766,마곡중학교,중학교,서울특별시 강서구 마곡동 731-73,서울특별시 강서구 마곡중앙5로 58,37.56790712,126.8214009
978,B000008362,대치중학교,중학교,서울특별시 강남구 도곡동 460,서울특별시 강남구 남부순환로378길 39,37.48457751,127.0470652
986,B000008310,양강중학교,중학교,서울특별시 양천구 신월동 499-2,서울특별시 양천구 중앙로 319,37.52491016,126.849688
989,B000008345,방배중학교,중학교,서울특별시 서초구 반포동 586-1,서울특별시 서초구 동광로 144,37.49486827,126.997827
990,B000008236,배화여자중학교,중학교,서울특별시 종로구 누상동 150,서울특별시 종로구 필운대로1길 34,37.57954401,126.9672919
994,B000008285,강동중학교,중학교,서울특별시 강동구 강일동 347-3,서울특별시 강동구 풍산로 237,37.56965025,127.177836
999,B000008303,신서중학교,중학교,서울특별시 양천구 신정동 310-6,서울특별시 양천구 중앙로 206,37.51596644,126.8550164
1001,B000008118,은평중학교,중학교,서울특별시 은평구 구산동 182-44,서울특별시 은평구 갈현로17나길 12-1,37.61061869,126.9083472
1002,B000008351,신동중학교,중학교,서울특별시 서초구 잠원동 54-6,서울특별시 서초구 나루터로 27,37.5169159,127.0129154
1008,B000008239,창덕여자중학교,중학교,서울특별시 중구 정동 27-3,서울특별시 중구 정동길 22,37.5664328,126.9692102
1018,B000008207,불암중학교,중학교,서울특별시 노원구 하계동 288-3,서울특별시 노원구 한글비석로5길 45,37.64573547,127.0734572
1020,B000008205,상경중학교,중학교,서울특별시 노원구 상계동 653,서울특별시 노원구 동일로227길 61,37.66714877,127.0537053
1021,B000008295,배재중학교,중학교,서울특별시 강동구 고덕동 313,서울특별시 강동구 고덕로 227,37.55505939,127.1502473
1024,B000008461,창문여자중학교,중학교,서울특별시 강북구 미아동 8-16,서울특별시 강북구 월계로 61,37.6134057,127.0357962
1026,B000008122,상신중학교,중학교,서울특별시 은평구 신사동 141,서울특별시 은평구 증산로15길 61,37.58978547,126.9064249
1027,B000008106,태릉중학교,중학교,서울특별시 중랑구 묵동 121-278,서울특별시 중랑구 공릉로2길 60-25,37.61253191,127.0834355
1034,B000008188,대영중학교,중학교,서울특별시 영등포구 신길동 342-49,서울특별시 영등포구 도림로80가길 14,37.50343784,126.905208
1035,B000008413,경수중학교,중학교,서울특별시 성동구 성수동2가 268,서울특별시 성동구 뚝섬로13길 14,37.53950904,127.0592712
1036,B000008154,숭문중학교,중학교,서울특별시 마포구 대흥동 28-16,서울특별시 마포구 숭문길 99,37.55089081,126.9457689
1043,B000008379,상현중학교,중학교,서울특별시 동작구 상도동 111-52,서울특별시 동작구 사당로2길 2-19,37.49398955,126.9603433
1044,B000008287,명일중학교,중학교,서울특별시 강동구 고덕동 489,서울특별시 강동구 양재대로156길 57,37.55759545,127.1472905
