,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
871,B000002365,서울행현초등학교,초등학교,서울특별시 성동구 행당동 317-18,서울특별시 성동구 행당로 95,37.55770899,127.029368
875,B000002316,서울대림초등학교,초등학교,서울특별시 동작구 대방동 391-62,서울특별시 동작구 대방동1길 22,37.5006148,126.9248833
876,B000002034,서울창원초등학교,초등학교,서울특별시 도봉구 창동 308,서울특별시 도봉구 해등로 103,37.65264409,127.0399799
877,B000002211,서울지향초등학교,초등학교,서울특별시 양천구 신정동 1284,서울특별시 양천구 신정로11길 74,37.51283768,126.8370238
878,B000001947,서울신북초등학교,초등학교,서울특별시 마포구 중동 42,서울특별시 마포구 월드컵북로38길 26,37.57110496,126.9053603
879,B000002100,서울장충초등학교,초등학교,서울특별시 중구 신당동 386-86,서울특별시 중구 청구로17길 40,37.55991095,127.0117048
880,B000002258,서울반원초등학교,초등학교,서울특별시 서초구 잠원동 72,서울특별시 서초구 잠원로3길 28,37.510312,127.0040536
882,B000002297,서울도성초등학교,초등학교,서울특별시 강남구 역삼동 714,서울특별시 강남구 역삼로 313,37.50146201,127.0488722
883,B000001980,서울문백초등학교,초등학교,서울특별시 금천구 시흥동 564-5,서울특별시 금천구 시흥대로47길 43-1,37.44709025,126.8986974
885,B000001950,서울상암초등학교,초등학교,서울특별시 마포구 상암동 1635,서울특별시 마포구 월드컵북로 353,37.57633795,126.8923219
886,B000001907,충암초등학교,초등학교,서울특별시 은평구 응암동 746-17,서울특별시 은평구 가좌로5길 5,37.58464029,126.9218095
889,B000001916,서울북성초등학교,초등학교,서울특별시 서대문구 북아현동 215,서울특별시 서대문구 북아현로1나길 22,37.55963212,126.9518349
893,B000002322,서울문창초등학교,초등학교,서울특별시 동작구 신대방동 640,서울특별시 동작구 신대방2길 14,37.48898483,126.9148407
897,B000002296,서울압구정초등학교,초등학교,서울특별시 강남구 압구정동 461,서울특별시 강남구 압구정로39길 29,37.53173911,127.0308441
900,B000001918,서울대신초등학교,초등학교,서울특별시 서대문구 대현동 67-1,서울특별시 서대문구 이화여대2길 27,37.55795026,126.9480572
906,B000002038,동북초등학교,초등학교,서울특별시 도봉구 쌍문동 263,서울특별시 도봉구 시루봉로 53,37.65634868,127.0268766
908,B000002382,서울중마초등학교,초등학교,서울특별시 광진구 중곡동 191-69,서울특별시 광진구 동일로72길 43,37.56579084,127.0790239
909,B000025384,서울강빛초등학교,초등학교,서울특별시 강동구 강일동 120-4,서울특별시 강동구 아리수로93다길 1,37.57432025,127.1710463
911,B000001953,서울영일초등학교,초등학교,서울특별시 구로구 가리봉동 17,서울특별시 구로구 남부순환로105길 218,37.48564539,126.8838134
912,B000001959,서울온수초등학교,초등학교,서울특별시 구로구 온수동 9-34,서울특별시 구로구 부일로 893,37.49400506,126.8259667
915,B000001900,서울상신초등학교,초등학교,서울특별시 은평구 신사동 238-2,서울특별시 은평구 가좌로 361,37.59755372,126.9046049
921,B000002421,서울삼각산초등학교,초등학교,서울특별시 강북구 미아동 1353-10,서울특별시 강북구 삼양로19길 141,37.61614897,127.0145684
922,B000002167,서울명덕초등학교,초등학교,서울특별시 강동구 고덕동 487-15,서울특별시 강동구 양재대로156길 11,37.55676233,127.1450815
925,B000002010,서울영신초등학교,초등학교,서울특별시 영등포구 신길동 121,서울특별시 영등포구 도신로60길 23,37.51017196,126.9181917
928,B000002416,광운초등학교,초등학교,서울특별시 성북구 장위동 130,서울특별시 성북구 한천로 694,37.61906522,127.0550771
931,B000002106,숭의초등학교,초등학교,서울특별시 중구 예장동 8-3,서울특별시 중구 소파로2길 10,37.55785307,126.9874816
932,B000002317,서울영본초등학교,초등학교,서울특별시 동작구 본동 441-11,서울특별시 동작구 만양로12가길 69,37.51129869,126.9486724
933,B000002169,서울길동초등학교,초등학교,서울특별시 강동구 길동 362,서울특별시 강동구 양재대로116길 69,37.5385062,127.1449729
934,B000002350,서울경수초등학교,초등학교,서울특별시 성동구 성수동2가 268,서울특별시 성동구 뚝섬로13길 22,37.54043667,127.0580668
936,B000002097,서울덕수초등학교,초등학교,서울특별시 중구 정동 1-76,서울특별시 중구 덕수궁길 140,37.56908888,126.9746579
939,B000002208,서울강월초등학교,초등학교,서울특별시 양천구 신월동 987-3,서울특별시 양천구 신월로 97,37.51634172,126.8334319
943,B000002356,서울마장초등학교,초등학교,서울특별시 성동구 마장동 766-49,서울특별시 성동구 마장로35나길 31,37.56830949,127.042128
946,B000002053,서울공릉초등학교,초등학교,서울특별시 노원구 공릉동 610-1,서울특별시 노원구 동일로173길 12,37.61861443,127.0746314
948,B000001885,서울북한산초등학교,초등학교,서울특별시 은평구 진관동 산3,서울특별시 은평구 대서문길 42-3,37.65363208,126.9504624
949,B000001855,서울휘봉초등학교,초등학교,서울특별시 동대문구 휘경동 49-27,서울특별시 동대문구 장안벚꽃로 309,37.58567641,127.0700416
953,B000002206,서울양강초등학교,초등학교,서울특별시 양천구 신월동 496,서울특별시 양천구 오목로 101,37.52423449,126.8478515
