,Unnamed: 0,상가업소번호,상권업종대분류명,상권업종중분류명,상권업종소분류명,지번주소,도로명주소,위도,경도
71,62821,22407795,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 성북구 하월곡동 71-41,서울특별시 성북구 오패산로3길 58,37.60590476,127.0353267
72,65327,16706774,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 동대문구 장안동 440-7,서울특별시 동대문구 천호대로97길 68,37.56351609,127.0719705
73,65328,16704631,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 광진구 중곡동 72-90,서울특별시 광진구 긴고랑로49길 19,37.56140791,127.095223
74,65985,28091414,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 영등포구 신길동 370-20,서울특별시 영등포구 가마산로51길 1,37.50342354,126.9006663
75,66437,28154002,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 노원구 상계동 767-5,서울특별시 노원구 덕릉로 459-37,37.64690708,127.0593981
76,66616,27672443,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강남구 개포동 14-4,서울특별시 강남구 개포로 619,37.49357894,127.0780612
77,66874,27672486,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 성북구 하월곡동 88-3,서울특별시 성북구 동소문로 310,37.60730634,127.0293399
78,66910,27672128,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 오금동 50-3,서울특별시 송파구 오금로 323,37.50253628,127.1280092
79,67267,21701699,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 금천구 시흥동 983-8,서울특별시 금천구 시흥대로 77,37.44106465,126.9029014
80,69448,21786702,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 성동구 마장동 523-3,서울특별시 성동구 고산자로 352,37.5708864,127.0381672
81,70589,28110834,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강서구 화곡동 1098-11,서울특별시 강서구 공항대로44길 63,37.55347787,126.8497496
82,71761,16258348,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로 513,37.51182033,127.0591391
83,71762,16251108,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강남구 역삼동 809-8,서울특별시 강남구 강남대로 458,37.50341056,127.0254388
84,71897,27672169,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 동대문구 신설동 117-23,서울특별시 동대문구 천호대로 4,37.57476673,127.0235133
85,71974,16248724,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 중랑구 중화동 288-2,서울특별시 중랑구 동일로 784,37.60051276,127.0799934
86,73252,28182107,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 노원구 상계동 666,서울특별시 노원구 노원로 564,37.66163973,127.0561067
87,73461,28079975,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 중랑구 면목동 186-136,서울특별시 중랑구 중랑천로 64,37.59102633,127.0732822
88,73763,27870566,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 용산구 이촌동 206-27,서울특별시 용산구 이촌로14길 11-6,37.52782499,126.9543764
89,74260,27830137,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 마포구 성산동 137-4,서울특별시 마포구 월드컵북로26길 17,37.56739542,126.9111483
90,74373,11758697,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 용산구 원효로3가 1-157,서울특별시 용산구 원효로41길 47,37.53530725,126.9598841
91,74846,23052278,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강서구 등촌동 681,서울특별시 강서구 강서로 448,37.56528392,126.8407957
92,75563,28146237,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 은평구 불광동 312-70,서울특별시 은평구 통일로80길 15,37.62030529,126.9220786
