,주소,위도,경도,어린이집 평균거리
77,서울특별시 중랑구 동일로 501,37.5752236,127.0796017,85.96034225354413
78,서울특별시 중랑구 동일로 476,37.572881,127.0806504,90.20340157693938
79,서울특별시 중랑구 답십리로77길 139,37.57760127,127.0806751,71.76469797011114
80,서울특별시 중랑구 답십리로75길 73,37.5754912,127.0804639,82.59771940494697
81,서울특별시 중랑구 공릉로2라길 4,37.612484,127.0817861,66.60480384292885
82,서울특별시 중랑구 공릉로2라길 15,37.6128576,127.0810011,68.92558682300754
83,서울특별시 중랑구 공릉로2나길 46,37.6141168,127.0800228,72.6637165777186
84,서울특별시 중랑구 공릉로2길 39,37.6127305,127.0800529,69.4955188554103
85,서울특별시 중랑구 공릉로18길 59,37.6189128,127.0824499,88.49170766722183
86,서울특별시 중랑구 공릉로13길 30,37.6168885,127.0775863,95.7605321749736
87,서울특별시 중랑구 겸재로30길 42,37.5868369,127.0841438,67.29466399857552
88,서울특별시 중랑구 겸재로29길 27,37.5892249,127.0849955,70.37025234931332
89,서울특별시 중구 퇴계로90길 74,37.5613365,127.0227976,209.41875322128
90,서울특별시 중구 퇴계로90길 74,37.5614662,127.0232537,209.41875322128
91,서울특별시 중구 퇴계로75길 7,37.56576221,127.0154382,45.980825332157124
92,서울특별시 중구 퇴계로49길 14,37.56339027,127.0000226,14.28794801604541
93,서울특별시 중구 퇴계로 72,37.5591878,126.9806109,28.547414277034772
94,서울특별시 중구 퇴계로 447,37.5664017,127.0214788,76.98398650033823
95,서울특별시 중구 퇴계로 235,37.5627311,126.9976903,14.910792127066074
96,서울특별시 중구 퇴계로 217,37.5624272,126.9959355,14.801346296005836
97,서울특별시 중구 칠패로 27,37.559937,126.971987,36.96991318170734
98,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,164.7065650729985
99,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,164.7065650729985
100,서울특별시 중구 청구로 64,37.5604078,127.0166741,142.79280754832087
101,서울특별시 중구 청구로 64,37.5606081,127.0187194,142.79280754832087
102,서울특별시 중구 청계천로 400,37.5711004,127.0222215,129.54890309066903
103,서울특별시 중구 청계천로 400,37.5711004,127.0222215,129.54890309066903
104,서울특별시 중구 중림로4길 41,37.5573531,126.9643574,56.073053323143554
105,서울특별시 중구 중림로 10,37.5581126,126.9653021,50.86881181025776
106,서울특별시 중구 왕십리로39길 30,37.5631656,127.0267431,106.49940119094057
107,서울특별시 중구 소공로 46,37.5595151,126.9832431,26.160106611806526
108,서울특별시 중구 소공로 35,37.5585392,126.9815848,27.609768304165282
109,서울특별시 중구 서애로1길 34,37.56070587,127.0000706,12.83708036043081
110,서울특별시 중구 만리재로33길 21,37.5558961,126.9669575,49.06305062582015
111,서울특별시 중구 만리재로 177,37.55446167,126.9659254,60.624207706181444
112,서울특별시 중구 만리재로 175,37.55460908,126.9630956,64.22577029182136
113,서울특별시 중구 마른내로 72,37.56355333,126.9958147,17.762559048803226
114,서울특별시 중구 동호로10길 30,37.5548919,127.0147458,141.68896371008498
115,서울특별시 중구 동호로10길 30,37.5549165,127.015698,141.68896371008498
116,서울특별시 중구 다산로46길 17,37.56686448,127.0170907,53.18089689255468
117,서울특별시 중구 다산로42나길 46,37.5623442,127.0172705,60.07485909347578
118,서울특별시 중구 다산로36길 110,37.5592169,127.0195121,89.30167017440374
119,서울특별시 중구 다산로36길 109,37.5599909,127.0217626,102.21045686847431
120,서울특별시 중구 다산로 32,37.5467804,127.0072969,80.4608323106488
121,서울특별시 중구 다산로 32,37.5467804,127.0072969,80.4608323106488
122,서울특별시 중구 난계로11길 30,37.566612,127.022403,79.89727677959513
123,서울특별시 중구 난계로 130,37.56297183,127.02439,104.10157506319115
124,서울특별시 종로구 홍지문길 64,37.604131,126.958162,11.102853351123732
125,서울특별시 종로구 평창문화로 172,37.6107886,126.9783329,10.083044242146732
126,서울특별시 종로구 평창문화로 140,37.6091332,126.9756922,3.5688564824386853
127,서울특별시 종로구 평창12길 8-22,37.6082039,126.9689263,5.287869046417928
128,서울특별시 종로구 통일로18길 9,37.5771174,126.9572222,20.48748367676629
129,서울특별시 종로구 통일로18길 34,37.57600084,126.9594942,26.307607763613042
130,서울특별시 종로구 통일로 246-20,37.5751953,126.960306,30.79643876412342
131,서울특별시 종로구 통일로 246-11,37.5757134,126.9584344,25.53494695917908
132,서울특별시 종로구 통일로 230,37.57436687,126.9586294,31.94541230516102
133,서울특별시 종로구 창경궁로 265,37.5859111,126.9992985,16.365078312526318
134,서울특별시 종로구 지봉로5길 7,37.574221,127.0142935,40.88534157587516
135,서울특별시 종로구 종로 347,37.5738554,127.0161891,43.389771605845254
136,서울특별시 종로구 종로 183,37.571436,126.9983959,15.85858501219184
137,서울특별시 종로구 숭인동길 21,37.5759616,127.0211388,47.006013202870534
138,서울특별시 종로구 송월길 99,37.56920542,126.9641524,55.26930500693931
139,서울특별시 종로구 송월길 155,37.5713895,126.961547,48.95740176295434
140,서울특별시 종로구 송월길 130,37.57223484,126.964497,52.132920425972436
141,서울특별시 종로구 사직로8길 4,37.5744035,126.9686008,44.65606943613476
142,서울특별시 종로구 사직로8길 34,37.5736451,126.9720155,48.25783726379037
143,서울특별시 종로구 동망산길 47,37.5809831,127.015931,50.206453116097
144,서울특별시 종로구 동망산길 19,37.5805173,127.0140195,48.34161028089624
145,서울특별시 종로구 돈화문로11가길 59,37.5751303,126.990057,19.586740770593334
146,서울특별시 종로구 대학로 33,37.57403883,127.0018609,20.042901984587907
147,서울특별시 종로구 낙산길 198,37.5806115,127.0117627,46.63267604751345
148,서울특별시 종로구 경교장길 35,37.56885493,126.9651711,53.89615429418845
149,서울특별시 은평구 통일로 972,37.63017615,126.9199162,42.78606379023983
150,서울특별시 은평구 통일로 796,37.6161545,126.9268481,55.83068424046116
151,서울특별시 은평구 통일로 792,37.61558755,126.9269016,56.152733296008996
152,서울특별시 은평구 통일로 780,37.6149349,126.9283299,58.60652454812108
153,서울특별시 은평구 통일로 661,37.60557539,126.9337516,58.16319020643917
154,서울특별시 은평구 통일로 630,37.602836,126.9359704,44.04924245400192
