,주소,위도,경도,지하철 평균거리
84,서울특별시 중랑구 공릉로2길 39,37.6127305,127.0800529,6.095578998
85,서울특별시 중랑구 공릉로18길 59,37.6189128,127.0824499,7.158754214
86,서울특별시 중랑구 공릉로13길 30,37.6168885,127.0775863,8.680520271
87,서울특별시 중랑구 겸재로30길 42,37.5868369,127.0841438,3.576654197
88,서울특별시 중랑구 겸재로29길 27,37.5892249,127.0849955,4.360382782
89,서울특별시 중구 퇴계로90길 74,37.5613365,127.0227976,19.90425973
90,서울특별시 중구 퇴계로90길 74,37.5614662,127.0232537,19.90425973
91,서울특별시 중구 퇴계로75길 7,37.56576221,127.0154382,18.10385179
92,서울특별시 중구 퇴계로49길 14,37.56339027,127.0000226,15.71394013
93,서울특별시 중구 퇴계로 72,37.5591878,126.9806109,10.3361172
94,서울특별시 중구 퇴계로 447,37.5664017,127.0214788,10.30224886
95,서울특별시 중구 퇴계로 235,37.5627311,126.9976903,16.42022089
96,서울특별시 중구 퇴계로 217,37.5624272,126.9959355,16.33373439
97,서울특별시 중구 칠패로 27,37.559937,126.971987,11.8828779
98,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,22.81572673
99,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,22.81572673
100,서울특별시 중구 청구로 64,37.5604078,127.0166741,27.20532424
101,서울특별시 중구 청구로 64,37.5606081,127.0187194,27.20532424
102,서울특별시 중구 청계천로 400,37.5711004,127.0222215,23.91721304
103,서울특별시 중구 청계천로 400,37.5711004,127.0222215,23.91721304
104,서울특별시 중구 중림로4길 41,37.5573531,126.9643574,10.19935463
105,서울특별시 중구 중림로 10,37.5581126,126.9653021,10.43757025
106,서울특별시 중구 왕십리로39길 30,37.5631656,127.0267431,8.729315726
107,서울특별시 중구 소공로 46,37.5595151,126.9832431,12.39548139
108,서울특별시 중구 소공로 35,37.5585392,126.9815848,9.568647937
109,서울특별시 중구 서애로1길 34,37.56070587,127.0000706,11.24291487
110,서울특별시 중구 만리재로33길 21,37.5558961,126.9669575,8.614076447
111,서울특별시 중구 만리재로 177,37.55446167,126.9659254,8.162173134
112,서울특별시 중구 만리재로 175,37.55460908,126.9630956,8.301158777
113,서울특별시 중구 마른내로 72,37.56355333,126.9958147,18.20061062
114,서울특별시 중구 동호로10길 30,37.5548919,127.0147458,22.8746122
115,서울특별시 중구 동호로10길 30,37.5549165,127.015698,22.8746122
116,서울특별시 중구 다산로46길 17,37.56686448,127.0170907,16.45558377
117,서울특별시 중구 다산로42나길 46,37.5623442,127.0172705,14.14109898
118,서울특별시 중구 다산로36길 110,37.5592169,127.0195121,11.65201147
119,서울특별시 중구 다산로36길 109,37.5599909,127.0217626,11.04555603
120,서울특별시 중구 다산로 32,37.5467804,127.0072969,11.83882629
121,서울특별시 중구 다산로 32,37.5467804,127.0072969,11.83882629
122,서울특별시 중구 난계로11길 30,37.566612,127.022403,9.877566774
123,서울특별시 중구 난계로 130,37.56297183,127.02439,8.558755245
124,서울특별시 종로구 홍지문길 64,37.604131,126.958162,
125,서울특별시 종로구 평창문화로 172,37.6107886,126.9783329,
126,서울특별시 종로구 평창문화로 140,37.6091332,126.9756922,
127,서울특별시 종로구 평창12길 8-22,37.6082039,126.9689263,
128,서울특별시 종로구 통일로18길 9,37.5771174,126.9572222,3.481682142
129,서울특별시 종로구 통일로18길 34,37.57600084,126.9594942,4.266396772
130,서울특별시 종로구 통일로 246-20,37.5751953,126.960306,4.138654581
131,서울특별시 종로구 통일로 246-11,37.5757134,126.9584344,6.368524407
132,서울특별시 종로구 통일로 230,37.57436687,126.9586294,12.87487797
133,서울특별시 종로구 창경궁로 265,37.5859111,126.9992985,3.422746698
134,서울특별시 종로구 지봉로5길 7,37.574221,127.0142935,12.38879456
135,서울특별시 종로구 종로 347,37.5738554,127.0161891,14.75967534
136,서울특별시 종로구 종로 183,37.571436,126.9983959,13.67083431
137,서울특별시 종로구 숭인동길 21,37.5759616,127.0211388,10.93365364
138,서울특별시 종로구 송월길 99,37.56920542,126.9641524,4.174173698
139,서울특별시 종로구 송월길 155,37.5713895,126.961547,3.237232596
140,서울특별시 종로구 송월길 130,37.57223484,126.964497,4.032643407
141,서울특별시 종로구 사직로8길 4,37.5744035,126.9686008,5.107315926
142,서울특별시 종로구 사직로8길 34,37.5736451,126.9720155,5.209902086
143,서울특별시 종로구 동망산길 47,37.5809831,127.015931,8.155542356
144,서울특별시 종로구 동망산길 19,37.5805173,127.0140195,6.355105412
145,서울특별시 종로구 돈화문로11가길 59,37.5751303,126.990057,10.10165879
146,서울특별시 종로구 대학로 33,37.57403883,127.0018609,10.76696451
147,서울특별시 종로구 낙산길 198,37.5806115,127.0117627,7.422580491
148,서울특별시 종로구 경교장길 35,37.56885493,126.9651711,4.194386537
149,서울특별시 은평구 통일로 972,37.63017615,126.9199162,1.333938077
150,서울특별시 은평구 통일로 796,37.6161545,126.9268481,7.830640651
151,서울특별시 은평구 통일로 792,37.61558755,126.9269016,8.64187468
152,서울특별시 은평구 통일로 780,37.6149349,126.9283299,7.843172826
153,서울특별시 은평구 통일로 661,37.60557539,126.9337516,5.815758935
154,서울특별시 은평구 통일로 630,37.602836,126.9359704,4.12260999
155,서울특별시 은평구 통일로 610,37.60197106,126.9358637,7.217834558
156,서울특별시 은평구 통일로 590,37.6001439,126.9370209,9.072348981
157,서울특별시 은평구 통일로 586-19,37.6000878,126.937924,5.466121903
158,서울특별시 은평구 통일로 1080,37.63923349,126.9175305,3.501704898
159,서울특별시 은평구 통일로 1034,37.63528526,126.9175985,4.950752004
160,서울특별시 은평구 진흥로 267,37.6115563,126.9385821,3.66289299
161,서울특별시 은평구 진관4로 87,37.6475351,126.9308402,
162,서울특별시 은평구 진관4로 78-7,37.6499688,126.9328208,
163,서울특별시 은평구 진관4로 78-38,37.64391623,126.9313598,
164,서울특별시 은평구 진관4로 77,37.6482939,126.9293087,
165,서울특별시 은평구 진관4로 48-8,37.6322759,126.9262676,1.197738745
166,서울특별시 은평구 진관4로 48-51,37.6484546,126.9291039,
167,서울특별시 은평구 진관4로 48-50,37.6474864,126.927883,
168,서울특별시 은평구 진관4로 48-17,37.648085,126.9286741,
169,서울특별시 은평구 진관4로 47,37.6489181,126.9298087,
170,서울특별시 은평구 진관4로 37,37.6466728,126.9265857,
171,서울특별시 은평구 진관4로 17,37.6415577,126.9227727,1.583672134
172,서울특별시 은평구 진관4로 107,37.6354766,126.924494,1.893152827
173,서울특별시 은평구 진관4로 100,37.6506098,126.9355523,
174,서울특별시 은평구 진관3로 77,37.6438336,126.9238442,1.115858644
175,서울특별시 은평구 진관3로 70,37.6411039,126.9219731,1.814843602
176,서울특별시 은평구 진관3로 67,37.6381577,126.9192866,6.566168871
177,서울특별시 은평구 진관3로 15-45,37.6425395,126.9171292,1.543006465
178,서울특별시 은평구 진관3로 15-35,37.6449549,126.9236501,1.001430339
179,서울특별시 은평구 진관2로 90,37.6333845,126.9272246,1.190683731
180,서울특별시 은평구 진관2로 77,37.6345812,126.9276171,1.218865479
181,서울특별시 은평구 진관2로 60,37.6318934,126.9198476,1.785601089
182,서울특별시 은평구 진관2로 57-7,37.6354766,126.924494,1.893152827
183,서울특별시 은평구 진관2로 57-37,37.6371052,126.928169,1.205452853
184,서울특별시 은평구 진관2로 111-7,37.6366325,126.9315448,
185,서울특별시 은평구 진관1로 77-8,37.631385,126.9307251,
186,서울특별시 은평구 진관1로 55,37.6337285,126.914929,2.066132362
187,서울특별시 은평구 진관1로 22,37.635659,126.9148018,2.684598823
188,서울특별시 은평구 진관1로 21-9,37.6317031,126.9200529,1.71185167
189,서울특별시 은평구 진관1로 21-10,37.6337149,126.9207485,2.558503498
190,서울특별시 은평구 증산로3길 26-1,37.5818742,126.9029992,3.317492465
191,서울특별시 은평구 증산로15길 67-7,37.5897887,126.9050321,2.533806265
192,서울특별시 은평구 증산로15길 35-10,37.5895119,126.9077834,3.270284038
193,서울특별시 은평구 증산로13길 44-5,37.587619,126.907735,3.475937258
194,서울특별시 은평구 응암로30길 16,37.59521591,126.9194381,3.515987833
195,서울특별시 은평구 응암로30길 15,37.596311,126.92186,2.702663253
196,서울특별시 은평구 응암로 366,37.60383,126.92309,6.317487608
197,서울특별시 은평구 응암로 318,37.5992267,126.9222397,2.952896321
198,서울특별시 은평구 은평터널로7길 2,37.5927487,126.9063355,1.480061191
199,서울특별시 은평구 은평터널로 66,37.5863961,126.9013422,1.240745049
