,주소,위도,경도,우체국 평균거리
74,서울특별시 중랑구 동일로 941,37.6146204,127.0761342,1.0671874657643223
75,서울특별시 중랑구 동일로 932,37.6138498,127.07755929999999,
76,서울특별시 중랑구 동일로 752,37.597344799999995,127.08253229999998,7.001997178312502
77,서울특별시 중랑구 동일로 501,37.5752236,127.0796017,2.5747441188079323
78,서울특별시 중랑구 동일로 476,37.572881,127.0806504,1.9088561021596122
79,서울특별시 중랑구 답십리로77길 139,37.57760127,127.0806751,2.3365523796336563
80,서울특별시 중랑구 답십리로75길 73,37.5754912,127.0804639,2.5355960232280084
81,서울특별시 중랑구 공릉로2라길 4,37.612484,127.0817861,
82,서울특별시 중랑구 공릉로2라길 15,37.6128576,127.0810011,
83,서울특별시 중랑구 공릉로2나길 46,37.6141168,127.0800228,
84,서울특별시 중랑구 공릉로2길 39,37.6127305,127.08005290000001,
85,서울특별시 중랑구 공릉로18길 59,37.6189128,127.0824499,
86,서울특별시 중랑구 공릉로13길 30,37.6168885,127.0775863,1.1427539388368657
87,서울특별시 중랑구 겸재로30길 42,37.5868369,127.0841438,
88,서울특별시 중랑구 겸재로29길 27,37.5892249,127.0849955,1.2876633058066267
89,서울특별시 중구 퇴계로90길 74,37.561336499999996,127.0227976,8.332138858887307
90,서울특별시 중구 퇴계로90길 74,37.5614662,127.0232537,8.332138858887307
91,서울특별시 중구 퇴계로75길 7,37.56576221,127.01543819999999,5.400110802622793
92,서울특별시 중구 퇴계로49길 14,37.56339027,127.00002260000001,9.570963173694032
93,서울특별시 중구 퇴계로 72,37.5591878,126.98061090000002,7.490956473917291
94,서울특별시 중구 퇴계로 447,37.56640170000001,127.0214788,5.713529980622831
95,서울특별시 중구 퇴계로 235,37.5627311,126.99769029999999,9.419492244143548
96,서울특별시 중구 퇴계로 217,37.56242720000001,126.9959355,8.226647846366898
97,서울특별시 중구 칠패로 27,37.559937,126.97198700000001,8.216724496271599
98,서울특별시 중구 청구로1길 23,37.558094399999995,127.01793229999998,11.441640143033014
99,서울특별시 중구 청구로1길 23,37.558094399999995,127.01793229999998,11.441640143033014
100,서울특별시 중구 청구로 64,37.5604078,127.01667409999999,12.343108241961541
101,서울특별시 중구 청구로 64,37.5606081,127.01871940000001,12.343108241961541
102,서울특별시 중구 청계천로 400,37.5711004,127.02222150000001,10.461423551364746
103,서울특별시 중구 청계천로 400,37.5711004,127.02222150000001,10.461423551364746
104,서울특별시 중구 중림로4길 41,37.5573531,126.9643574,5.857768110005471
105,서울특별시 중구 중림로 10,37.5581126,126.96530209999999,6.248664515760898
106,서울특별시 중구 왕십리로39길 30,37.563165600000005,127.02674309999999,4.520200732353295
107,서울특별시 중구 소공로 46,37.5595151,126.98324309999998,6.173739087555254
108,서울특별시 중구 소공로 35,37.558539200000006,126.9815848,6.581351256679545
109,서울특별시 중구 서애로1길 34,37.56070587,127.0000706,7.928743789741164
110,서울특별시 중구 만리재로33길 21,37.5558961,126.96695749999999,4.213001941689861
111,서울특별시 중구 만리재로 177,37.55446167,126.96592539999999,3.6108272905474186
112,서울특별시 중구 만리재로 175,37.55460908,126.9630956,2.9683456101701435
113,서울특별시 중구 마른내로 72,37.56355333,126.99581470000001,10.054664572835492
114,서울특별시 중구 동호로10길 30,37.5548919,127.01474579999999,9.885592854756773
115,서울특별시 중구 동호로10길 30,37.5549165,127.015698,9.885592854756773
116,서울특별시 중구 다산로46길 17,37.56686448,127.01709070000001,4.215991886073827
117,서울특별시 중구 다산로42나길 46,37.562344200000005,127.01727050000001,5.322588739990104
118,서울특별시 중구 다산로36길 110,37.5592169,127.0195121,5.413636578763775
119,서울특별시 중구 다산로36길 109,37.559990899999995,127.02176259999999,3.9181017086208607
120,서울특별시 중구 다산로 32,37.5467804,127.0072969,4.872701220144247
121,서울특별시 중구 다산로 32,37.5467804,127.0072969,4.872701220144247
122,서울특별시 중구 난계로11길 30,37.566612,127.022403,4.731275046644008
123,서울특별시 중구 난계로 130,37.56297183,127.02439,4.150502701366704
124,서울특별시 종로구 홍지문길 64,37.604131,126.95816200000002,2.434715021600021
125,서울특별시 종로구 평창문화로 172,37.6107886,126.97833290000001,
126,서울특별시 종로구 평창문화로 140,37.6091332,126.9756922,
127,서울특별시 종로구 평창12길 8-22,37.6082039,126.9689263,
128,서울특별시 종로구 통일로18길 9,37.5771174,126.9572222,5.481961515392609
