,주소,위도,경도,편의점 평균거리
67,서울특별시 중랑구 망우로 353,37.5980973,127.0903793,142.78700291019138
68,서울특별시 중랑구 망우로 346,37.5972558,127.0912331,148.06749974934837
69,서울특별시 중랑구 동일로92길 40,37.582679,127.081924,104.29603561780247
70,서울특별시 중랑구 동일로91길 23,37.58231,127.078897,91.03397336613531
71,서울특별시 중랑구 동일로169길 41,37.613353,127.0747746,105.60630923605517
72,서울특별시 중랑구 동일로157길 70,37.6105575,127.0737502,95.31630840424428
73,서울특별시 중랑구 동일로136길 15,37.60255682,127.0801746,114.5172861107345
74,서울특별시 중랑구 동일로 941,37.6146204,127.0761342,109.73325533189784
75,서울특별시 중랑구 동일로 932,37.6138498,127.0775593,105.69377004822896
76,서울특별시 중랑구 동일로 752,37.5973448,127.0825323,152.16011059164913
77,서울특별시 중랑구 동일로 501,37.5752236,127.0796017,87.80250864060753
78,서울특별시 중랑구 동일로 476,37.572881,127.0806504,79.30080111023607
79,서울특별시 중랑구 답십리로77길 139,37.57760127,127.0806751,88.32903354869647
80,서울특별시 중랑구 답십리로75길 73,37.5754912,127.0804639,82.67429608213988
81,서울특별시 중랑구 공릉로2라길 4,37.612484,127.0817861,86.57615511849771
82,서울특별시 중랑구 공릉로2라길 15,37.6128576,127.0810011,88.56074133746054
83,서울특별시 중랑구 공릉로2나길 46,37.6141168,127.0800228,96.90090721852302
84,서울특별시 중랑구 공릉로2길 39,37.6127305,127.0800529,93.82376826673236
85,서울특별시 중랑구 공릉로18길 59,37.6189128,127.0824499,99.16971318966932
86,서울특별시 중랑구 공릉로13길 30,37.6168885,127.0775863,115.90324300079511
87,서울특별시 중랑구 겸재로30길 42,37.5868369,127.0841438,137.15597153722163
88,서울특별시 중랑구 겸재로29길 27,37.5892249,127.0849955,154.41934243332756
89,서울특별시 중구 퇴계로90길 74,37.5613365,127.0227976,258.78213920118725
90,서울특별시 중구 퇴계로90길 74,37.5614662,127.0232537,258.78213920118725
91,서울특별시 중구 퇴계로75길 7,37.56576221,127.0154382,191.5073173563495
92,서울특별시 중구 퇴계로49길 14,37.56339027,127.0000226,156.7093232260087
93,서울특별시 중구 퇴계로 72,37.5591878,126.9806109,186.23910484644938
94,서울특별시 중구 퇴계로 447,37.5664017,127.0214788,167.95641194611076
95,서울특별시 중구 퇴계로 235,37.5627311,126.9976903,159.81454813651854
96,서울특별시 중구 퇴계로 217,37.5624272,126.9959355,165.85230093352118
97,서울특별시 중구 칠패로 27,37.559937,126.971987,174.48139921200544
98,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,262.39353442513294
99,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,262.39353442513294
100,서울특별시 중구 청구로 64,37.5604078,127.0166741,296.32423429822205
101,서울특별시 중구 청구로 64,37.5606081,127.0187194,296.32423429822205
102,서울특별시 중구 청계천로 400,37.5711004,127.0222215,338.1755225227211
103,서울특별시 중구 청계천로 400,37.5711004,127.0222215,338.1755225227211
104,서울특별시 중구 중림로4길 41,37.5573531,126.9643574,131.73324070130428
105,서울특별시 중구 중림로 10,37.5581126,126.9653021,137.7409091086811
106,서울특별시 중구 왕십리로39길 30,37.5631656,127.0267431,125.33437877929785
107,서울특별시 중구 소공로 46,37.5595151,126.9832431,187.63406174535817
108,서울특별시 중구 소공로 35,37.5585392,126.9815848,176.5243242889397
109,서울특별시 중구 서애로1길 34,37.56070587,127.0000706,136.54493906003256
110,서울특별시 중구 만리재로33길 21,37.5558961,126.9669575,145.55233897549414
111,서울특별시 중구 만리재로 177,37.55446167,126.9659254,133.6279391291812
112,서울특별시 중구 만리재로 175,37.55460908,126.9630956,116.61603522584126
113,서울특별시 중구 마른내로 72,37.56355333,126.9958147,174.41320060994173
114,서울특별시 중구 동호로10길 30,37.5548919,127.0147458,225.89472966714027
115,서울특별시 중구 동호로10길 30,37.5549165,127.015698,225.89472966714027
116,서울특별시 중구 다산로46길 17,37.56686448,127.0170907,188.33023685843773
117,서울특별시 중구 다산로42나길 46,37.5623442,127.0172705,159.2061047625377
118,서울특별시 중구 다산로36길 110,37.5592169,127.0195121,130.06910027908364
119,서울특별시 중구 다산로36길 109,37.5599909,127.0217626,123.14124619749649
120,서울특별시 중구 다산로 32,37.5467804,127.0072969,119.28877739529388
121,서울특별시 중구 다산로 32,37.5467804,127.0072969,119.28877739529388
122,서울특별시 중구 난계로11길 30,37.566612,127.022403,166.48174426586232
123,서울특별시 중구 난계로 130,37.56297183,127.02439,133.12870801570148
124,서울특별시 종로구 홍지문길 64,37.604131,126.958162,49.64694333880166
125,서울특별시 종로구 평창문화로 172,37.6107886,126.9783329,20.38290791326878
126,서울특별시 종로구 평창문화로 140,37.6091332,126.9756922,23.701356153534345
127,서울특별시 종로구 평창12길 8-22,37.6082039,126.9689263,23.261253793873173
128,서울특별시 종로구 통일로18길 9,37.5771174,126.9572222,43.78184125368101
129,서울특별시 종로구 통일로18길 34,37.57600084,126.9594942,54.83563473144739
130,서울특별시 종로구 통일로 246-20,37.5751953,126.960306,61.73258467525795
131,서울특별시 종로구 통일로 246-11,37.5757134,126.9584344,54.32334693722938
132,서울특별시 종로구 통일로 230,37.57436687,126.9586294,59.5534360507056
133,서울특별시 종로구 창경궁로 265,37.5859111,126.9992985,101.2691156478444
134,서울특별시 종로구 지봉로5길 7,37.574221,127.0142935,144.21136828350384
135,서울특별시 종로구 종로 347,37.5738554,127.0161891,157.06302375221227
136,서울특별시 종로구 종로 183,37.571436,126.9983959,131.32942773540015
137,서울특별시 종로구 숭인동길 21,37.5759616,127.0211388,139.8070276523735
138,서울특별시 종로구 송월길 99,37.56920542,126.9641524,104.07940593100425
139,서울특별시 종로구 송월길 155,37.5713895,126.961547,83.5741803165724
140,서울특별시 종로구 송월길 130,37.57223484,126.964497,96.03580323553845
141,서울특별시 종로구 사직로8길 4,37.5744035,126.9686008,91.66405900680118
142,서울특별시 종로구 사직로8길 34,37.5736451,126.9720155,110.16304856297522
143,서울특별시 종로구 동망산길 47,37.5809831,127.015931,110.00794168534192
144,서울특별시 종로구 동망산길 19,37.5805173,127.0140195,109.46090111168401
145,서울특별시 종로구 돈화문로11가길 59,37.5751303,126.990057,139.2787911750654
146,서울특별시 종로구 대학로 33,37.57403883,127.0018609,110.33891477384094
147,서울특별시 종로구 낙산길 198,37.5806115,127.0117627,101.20203998648938
148,서울특별시 종로구 경교장길 35,37.56885493,126.9651711,109.24623729895453
149,서울특별시 은평구 통일로 972,37.63017615,126.9199162,56.582470686310124
150,서울특별시 은평구 통일로 796,37.6161545,126.9268481,140.53866215361688
151,서울특별시 은평구 통일로 792,37.61558755,126.9269016,138.00493206008304
152,서울특별시 은평구 통일로 780,37.6149349,126.9283299,123.084831875485
153,서울특별시 은평구 통일로 661,37.60557539,126.9337516,83.1010127692075
154,서울특별시 은평구 통일로 630,37.602836,126.9359704,55.56429241681202
155,서울특별시 은평구 통일로 610,37.60197106,126.9358637,50.91095201590323
156,서울특별시 은평구 통일로 590,37.6001439,126.9370209,48.66375728524666
157,서울특별시 은평구 통일로 586-19,37.6000878,126.937924,50.02548455683822
158,서울특별시 은평구 통일로 1080,37.63923349,126.9175305,51.43865485387154
159,서울특별시 은평구 통일로 1034,37.63528526,126.9175985,55.17337784641882
160,서울특별시 은평구 진흥로 267,37.6115563,126.9385821,42.15830554510667
161,서울특별시 은평구 진관4로 87,37.6475351,126.9308402,11.395244778248149
162,서울특별시 은평구 진관4로 78-7,37.6499688,126.9328208,5.848642640119396
163,서울특별시 은평구 진관4로 78-38,37.64391623,126.9313598,16.27442069508908
164,서울특별시 은평구 진관4로 77,37.6482939,126.9293087,11.378434163868143
165,서울특별시 은평구 진관4로 48-8,37.6322759,126.9262676,43.150989178311704
166,서울특별시 은평구 진관4로 48-51,37.6484546,126.9291039,11.231900832790407
167,서울특별시 은평구 진관4로 48-50,37.6474864,126.927883,14.563061464721084
168,서울특별시 은평구 진관4로 48-17,37.648085,126.9286741,12.40742308238862
169,서울특별시 은평구 진관4로 47,37.6489181,126.9298087,9.882896697297229
170,서울특별시 은평구 진관4로 37,37.6466728,126.9265857,18.319668093261125
171,서울특별시 은평구 진관4로 17,37.6415577,126.9227727,43.07753396962942
