,주소,위도,경도,전통시장 평균거리
1977,서울특별시 강서구 허준로 76,37.5681118,126.8489731,
1978,서울특별시 강서구 허준로 55-20,37.569807700000005,126.84929009999999,
1979,서울특별시 강서구 허준로 47,37.5702365,126.84807260000001,
1980,서울특별시 강서구 허준로 23,37.5714005,126.84499699999999,
1981,서울특별시 강서구 허준로 224,37.5600853,126.86163970000001,2.461392715281871
1982,서울특별시 강서구 허준로 176,37.561677100000004,126.8572021,1.616087164578359
1983,서울특별시 강서구 허준로 175,37.563228499999994,126.85931090000001,1.355470383754766
1984,서울특별시 강서구 허준로 139,37.5652229,126.8556837,
1985,서울특별시 강서구 허준로 121,37.566445200000004,126.85407140000001,
1986,서울특별시 강서구 초록마을로 176,37.5360506,126.84472620000001,9.924212102450918
1987,서울특별시 강서구 월정로 160,37.5336644,126.8373402,14.138599588225047
1988,서울특별시 강서구 우현로 67,37.546079299999995,126.83685320000001,7.31237103865261
1989,서울특별시 강서구 우현로 26,37.5481674,126.8430656,4.585778822330494
1990,서울특별시 강서구 우장산로 92,37.5526254,126.8469523,
1991,서울특별시 강서구 우장산로 47,37.5546673,126.8427487,1.1038247009381268
1992,서울특별시 강서구 우장산로 103,37.5540236,126.8474014,
1993,서울특별시 강서구 양천로77길 45,37.5464825,127.01446090000002,2.531356364940977
1994,서울특별시 강서구 양천로75길 60,37.55200099,126.876072,3.7814894240838153
1995,서울특별시 강서구 양천로75길 19,37.550923299999994,126.87409029999999,4.929072552289291
1996,서울특별시 강서구 양천로73길 80,37.5540431,126.87426289999999,3.3280038116621
1997,서울특별시 강서구 양천로73길 5,37.5515375,126.87228629999998,4.9758562806953
1998,서울특별시 강서구 양천로71길 38,37.5528637,126.87276259999999,4.039955889223956
1999,서울특별시 강서구 양천로71가길 22,37.5520432,126.8731713,4.445425905700844
2000,서울특별시 강서구 양천로6길 57,37.5700874,126.8081826,3.3773215639934366
2001,서울특별시 강서구 양천로6길 28,37.569790600000005,126.80663999999999,3.0378245743864025
2002,서울특별시 강서구 양천로69길 65,37.5555042,126.8722555,1.0669507379018952
2003,서울특별시 강서구 양천로69길 58,37.5548498,126.87312820000001,3.153934302930129
2004,서울특별시 강서구 양천로69길 18,37.552949299999995,126.87123840000001,4.144709608681231
2005,서울특별시 강서구 양천로67길 77,37.5555744,126.87031340000001,2.2561110429875777
2006,서울특별시 강서구 양천로67길 54,37.5556867,126.86952009999999,2.3644571808384427
2007,서울특별시 강서구 양천로67길 32,37.5551935,126.86920900000001,3.4876204186922375
2008,서울특별시 강서구 양천로66길 6,37.5552044,126.86389199999999,3.3913509732915603
2009,서울특별시 강서구 양천로63길 52,37.558077600000004,126.8661662,1.8044863053699727
2010,서울특별시 강서구 양천로63길 51,37.5577389,126.86542720000001,2.078156568159403
2011,서울특별시 강서구 양천로63길 38,37.5562105,126.86718359999999,2.6561015372421504
2012,서울특별시 강서구 양천로57길 37,37.5650258,126.8510376,
2013,서울특별시 강서구 양천로57길 36,37.563671299999996,126.8548294,1.0952909114345688
2014,서울특별시 강서구 양천로55길 55,37.56647139,126.8481254,
2015,서울특별시 강서구 양천로47길 94,37.5746242,126.83761170000001,
2016,서울특별시 강서구 양천로47길 118,37.5757344,126.8378355,
2017,서울특별시 강서구 양천로3길 17,37.57327670000001,126.8061003,1.7001459562413228
2018,서울특별시 강서구 양천로30길 77,37.569666600000005,126.8233243,1.0125407863039164
2019,서울특별시 강서구 양천로30길 123-9,37.56813270000001,126.82292520000001,
2020,서울특별시 강서구 양천로28길 29,37.5717213,126.82127890000001,1.2660259180322881
2021,서울특별시 강서구 양천로27길 129,37.5793196,126.8193263,
2022,서울특별시 강서구 양천로26길 103,37.5729601,126.82192820000002,1.1569525126467632
2023,서울특별시 강서구 양천로24가길 59,37.5714296,126.8133457,11.114727353257894
2024,서울특별시 강서구 양천로1길 117,37.5746001,126.81052539999999,2.5487089232291464
2025,서울특별시 강서구 양천로18길 27,37.57239179999999,126.8134094,6.754905663959477
2026,서울특별시 강서구 양천로14길 37,37.571124299999994,126.8102088,3.6454707151096972
2027,서울특별시 강서구 양천로14길 17,37.57202279999999,126.81068190000002,6.173146934227518
2028,서울특별시 강서구 양천로14길 118,37.573351200000005,126.79831850000001,
2029,서울특별시 강서구 양천로11길 57,37.5745483,126.80712290000001,1.7277355198481736
2030,서울특별시 강서구 양천로10길 38,37.571185,126.808283,3.1498766161345824
2031,서울특별시 강서구 양천로 731,37.549794,126.87767920000002,4.045427727280066
2032,서울특별시 강서구 양천로 666,37.5516408,126.8703148,5.1271966343286
2033,서울특별시 강서구 양천로 656,37.552519200000006,126.86948980000001,5.397119634641921
2034,서울특별시 강서구 양천로 637,37.554476,126.86828159999999,3.8102233784812767
2035,서울특별시 강서구 양천로 613,37.55526112,126.8662612,2.9866184206482527
2036,서울특별시 강서구 양천로 595,37.556304700000005,126.86514939999999,2.9668667479856623
2037,서울특별시 강서구 양천로 590,37.555659999999996,126.8641456,3.2688316117988125
2038,서울특별시 강서구 양천로 507,37.5607691,126.85696599999999,1.8539204797991642
2039,서울특별시 강서구 양천로 489,37.5623512,126.85425420000001,1.216878363979226
2040,서울특별시 강서구 양천로 140,37.573024700000005,126.8192912,1.5610002440016568
2041,서울특별시 강서구 양천로 125,37.5742114,126.8175777,1.785456344490113
2042,서울특별시 강서구 수명로2길 63,37.5503051,126.8257712,1.1184236934761524
2043,서울특별시 강서구 수명로2길 105,37.5518797,126.8272011,1.2070061002281507
2044,서울특별시 강서구 수명로2가길 22,37.5483311,126.8223697,
2045,서울특별시 강서구 수명로1길 16,37.5512432,126.8233716,
2046,서울특별시 강서구 수명로1길 110,37.5526641,126.8246879,
2047,서울특별시 강서구 방화대로50길 7,37.5771877,126.8175188,1.2625874201606802
2048,서울특별시 강서구 방화대로48길 40,37.5746696,126.81958840000001,2.7120439905052884
2049,서울특별시 강서구 방화대로48길 40,37.5746696,126.81958840000001,2.7120439905052884
2050,서울특별시 강서구 방화대로47길 55,37.5757615,126.81272609999999,2.044203007230158
2051,서울특별시 강서구 방화대로47가길 22,37.5773423,126.8141297,1.4653204001410716
2052,서울특별시 강서구 방화대로37길 26,37.570387,126.81430379999999,3.489021278424519
2053,서울특별시 강서구 방화대로37길 15,37.569926,126.8157168,3.0646929467195223
2054,서울특별시 강서구 방화대로34길 88,37.5700345,126.8217091,1.1902662477925319
2055,서울특별시 강서구 방화대로34길 113,37.5721234,126.8221909,1.1450944718115894
2056,서울특별시 강서구 마곡중앙로 36,37.55735462,126.8284906,
2057,서울특별시 강서구 마곡중앙로 33,37.558057299999994,126.82407250000001,
2058,서울특별시 강서구 마곡중앙1로 71,37.55691937,126.8178669,
2059,서울특별시 강서구 마곡서로 175,37.5688811,126.82394640000001,
2060,서울특별시 강서구 마곡서로 133,37.564094299999994,126.82393,
