,주소,위도,경도,중학교 평균거리
78,서울특별시 중랑구 동일로 476,37.572881,127.0806504,3.1308386690079426
79,서울특별시 중랑구 답십리로77길 139,37.57760127,127.0806751,3.6739604294826482
80,서울특별시 중랑구 답십리로75길 73,37.5754912,127.0804639,3.740481535949226
81,서울특별시 중랑구 공릉로2라길 4,37.612484,127.0817861,5.718029014054814
82,서울특별시 중랑구 공릉로2라길 15,37.6128576,127.0810011,5.375283311570832
83,서울특별시 중랑구 공릉로2나길 46,37.6141168,127.0800228,5.634768854856496
84,서울특별시 중랑구 공릉로2길 39,37.6127305,127.0800529,5.001489582141883
85,서울특별시 중랑구 공릉로18길 59,37.6189128,127.0824499,6.876903530250951
86,서울특별시 중랑구 공릉로13길 30,37.6168885,127.0775863,4.2680610364330605
87,서울특별시 중랑구 겸재로30길 42,37.5868369,127.0841438,1.048373351647785
88,서울특별시 중랑구 겸재로29길 27,37.5892249,127.0849955,1.0070919407414207
89,서울특별시 중구 퇴계로90길 74,37.5613365,127.0227976,8.5697560579399
90,서울특별시 중구 퇴계로90길 74,37.5614662,127.0232537,8.5697560579399
91,서울특별시 중구 퇴계로75길 7,37.56576221,127.0154382,3.0335408139030515
92,서울특별시 중구 퇴계로49길 14,37.56339027,127.0000226,2.7696035458519477
93,서울특별시 중구 퇴계로 72,37.5591878,126.9806109,
94,서울특별시 중구 퇴계로 447,37.5664017,127.0214788,2.1968676736889043
95,서울특별시 중구 퇴계로 235,37.5627311,126.9976903,3.100084707057887
96,서울특별시 중구 퇴계로 217,37.5624272,126.9959355,2.756288680042951
97,서울특별시 중구 칠패로 27,37.559937,126.971987,2.417600800974936
98,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,18.5177803136265
99,서울특별시 중구 청구로1길 23,37.5580944,127.0179323,18.5177803136265
100,서울특별시 중구 청구로 64,37.5604078,127.0166741,10.826160128291338
101,서울특별시 중구 청구로 64,37.5606081,127.0187194,10.826160128291338
102,서울특별시 중구 청계천로 400,37.5711004,127.0222215,2.4700322703358015
103,서울특별시 중구 청계천로 400,37.5711004,127.0222215,2.4700322703358015
104,서울특별시 중구 중림로4길 41,37.5573531,126.9643574,6.759166902860188
105,서울특별시 중구 중림로 10,37.5581126,126.9653021,7.234248996629067
106,서울특별시 중구 왕십리로39길 30,37.5631656,127.0267431,2.5655165104453914
107,서울특별시 중구 소공로 46,37.5595151,126.9832431,
108,서울특별시 중구 소공로 35,37.5585392,126.9815848,
109,서울특별시 중구 서애로1길 34,37.56070587,127.0000706,3.603407496759814
110,서울특별시 중구 만리재로33길 21,37.5558961,126.9669575,4.3138910713782685
111,서울특별시 중구 만리재로 177,37.55446167,126.9659254,5.341665918097809
112,서울특별시 중구 만리재로 175,37.55460908,126.9630956,7.388106653066969
113,서울특별시 중구 마른내로 72,37.56355333,126.9958147,4.028179105711787
114,서울특별시 중구 동호로10길 30,37.5548919,127.0147458,13.257950068818797
115,서울특별시 중구 동호로10길 30,37.5549165,127.015698,13.257950068818797
116,서울특별시 중구 다산로46길 17,37.56686448,127.0170907,1.9613596596842537
117,서울특별시 중구 다산로42나길 46,37.5623442,127.0172705,4.82318238363509
118,서울특별시 중구 다산로36길 110,37.5592169,127.0195121,7.372293283896307
119,서울특별시 중구 다산로36길 109,37.5599909,127.0217626,5.101048864872993
120,서울특별시 중구 다산로 32,37.5467804,127.0072969,7.768407718038129
121,서울특별시 중구 다산로 32,37.5467804,127.0072969,7.768407718038129
122,서울특별시 중구 난계로11길 30,37.566612,127.022403,2.0638964170538014
123,서울특별시 중구 난계로 130,37.56297183,127.02439,3.56928852331503
124,서울특별시 종로구 홍지문길 64,37.604131,126.958162,3.780530600966049
125,서울특별시 종로구 평창문화로 172,37.6107886,126.9783329,
126,서울특별시 종로구 평창문화로 140,37.6091332,126.9756922,
127,서울특별시 종로구 평창12길 8-22,37.6082039,126.9689263,
128,서울특별시 종로구 통일로18길 9,37.5771174,126.9572222,2.671122551036186
129,서울특별시 종로구 통일로18길 34,37.57600084,126.9594942,4.487575583081444
130,서울특별시 종로구 통일로 246-20,37.5751953,126.960306,5.053695774104542
131,서울특별시 종로구 통일로 246-11,37.5757134,126.9584344,4.2277017186826065
132,서울특별시 종로구 통일로 230,37.57436687,126.9586294,4.636141556735269
133,서울특별시 종로구 창경궁로 265,37.5859111,126.9992985,5.40078619882431
134,서울특별시 종로구 지봉로5길 7,37.574221,127.0142935,3.1918787011968366
135,서울특별시 종로구 종로 347,37.5738554,127.0161891,3.097994345563924
136,서울특별시 종로구 종로 183,37.571436,126.9983959,2.626332090663875
137,서울특별시 종로구 숭인동길 21,37.5759616,127.0211388,2.3242334338049884
138,서울특별시 종로구 송월길 99,37.56920542,126.9641524,9.378602211571422
139,서울특별시 종로구 송월길 155,37.5713895,126.961547,7.494605715497556
140,서울특별시 종로구 송월길 130,37.57223484,126.964497,7.84884547918581
141,서울특별시 종로구 사직로8길 4,37.5744035,126.9686008,5.356461248888239
142,서울특별시 종로구 사직로8길 34,37.5736451,126.9720155,4.502654114165011
143,서울특별시 종로구 동망산길 47,37.5809831,127.015931,3.042138073656889
144,서울특별시 종로구 동망산길 19,37.5805173,127.0140195,3.3225850096822147
145,서울특별시 종로구 돈화문로11가길 59,37.5751303,126.990057,2.26691442042477
146,서울특별시 종로구 대학로 33,37.57403883,127.0018609,2.220516972926771
