번호,주소,시군구,경도,위도,소방서 평균거리,초등학교 평균거리,우체국 평균거리,지하철 평균거리,전통시장 평균거리,편의점 평균거리,유치원 평균거리,중학교 평균거리,어린이집 평균거리
38,서울특별시 중랑구 신내로 128,중랑구,127.098393,37.6092058,,7.523529898,,1.839460161,6.532726632,40.73211366,11.01404128,3.791086194,85.37854405
39,서울특별시 중랑구 신내로 127,중랑구,127.0944007,37.6122193,,14.85352424,,5.789397498,6.99857975,58.61873207,24.69135369,4.260131374,143.6026929
40,서울특별시 중랑구 신내로 127,중랑구,127.0947323,37.6119902,,14.85352424,,5.789397498,6.99857975,58.61873207,24.69135369,4.260131374,143.6026929
41,서울특별시 중랑구 신내로 115,중랑구,127.0946105,37.6092763,,8.074984143,,2.246802811,6.767829341,39.33816495,13.32315328,3.565269778,94.49904711
42,서울특별시 중랑구 신내로 112,중랑구,127.0962591,37.608527,,8.985999319,,1.377713395,10.56161843,44.09537192,13.69943849,4.741619405,100.8819224
43,서울특별시 중랑구 숙선옹주로9길 25,중랑구,127.0835522,37.6153547,,7.165595039,,7.077371913,,80.23513334,10.20356296,6.633922239,80.08644429
44,서울특별시 중랑구 숙선옹주로 91,중랑구,127.0848708,37.6166943,,8.166372658,,6.983896249,1.039215945,73.17716579,12.25546803,7.300598819,78.70083375
45,서울특별시 중랑구 숙선옹주로 45,중랑구,127.0818336,37.61718228,,6.272366752,,7.908968983,1.329015868,99.59728264,11.73212833,6.660158178,86.57434644
46,서울특별시 중랑구 송림길 16,중랑구,127.0971514,37.6060585,,9.434525629,,1.115721337,8.960793759,63.51176036,15.48574131,5.665310062,112.8429979
47,서울특별시 중랑구 상봉중앙로8길 76,중랑구,127.0911038,37.6024565,1.209503055,9.163974634,,1.233698441,3.971402113,106.0706149,15.7353702,7.178347505,91.17698478
48,서울특별시 중랑구 상봉중앙로8길 104,중랑구,127.0926848,37.6033569,1.11773882,8.557232006,,1.024151761,4.655860473,95.21224424,15.33359955,8.715804002,103.0063403
49,서울특별시 중랑구 상봉중앙로1다길 21,중랑구,127.0886359,37.5996773,1.491798485,7.860692472,2.789238636,3.153565969,4.561569241,130.9054623,17.64381183,6.53364835,79.86452961
50,서울특별시 중랑구 상봉로 131,중랑구,127.0922043,37.59736204,3.703850292,7.208347128,1.172783697,1.66502228,7.926492088,145.3504716,15.26788451,4.719045043,79.7843005
51,서울특별시 중랑구 사가정로72길 26,중랑구,127.093493,37.579904,,4.890814778,,3.02485226,4.838660369,63.11714,7.096976977,4.894711743,42.51383668
52,서울특별시 중랑구 사가정로71길 19,중랑구,127.0954286,37.5811929,,4.766974194,,1.619403349,2.943227281,63.69488166,4.209937076,6.516832649,39.2273052
53,서울특별시 중랑구 사가정로71길 11,중랑구,127.0944705,37.5810758,,4.961264335,,1.878242919,5.07098886,69.73600546,6.565177245,5.980377369,43.69201432
54,서울특별시 중랑구 봉화산로56길 51,중랑구,127.0987566,37.6061739,,9.833861986,,1.214335561,6.569966259,61.39662142,14.8961238,6.572453966,106.0695526
55,서울특별시 중랑구 봉화산로56길 145-1,중랑구,127.0981187,37.6033568,1.041717982,10.45631298,,,5.204560641,86.88693958,14.55409889,6.790007701,114.2694515
56,서울특별시 중랑구 봉화산로56길 140,중랑구,127.096287,37.60273271,1.185853119,9.677401333,,,5.206818696,93.53538385,15.07769306,5.90031366,115.9678043
57,서울특별시 중랑구 봉화산로56길 112,중랑구,127.0970347,37.6037982,1.025826827,10.23665872,,,5.511276473,83.96805475,15.16646266,5.999917501,117.4930848
58,서울특별시 중랑구 봉화산로48길 62,중랑구,127.0934783,37.6039877,1.043166357,9.050991778,,,5.091183233,88.36775439,16.57547153,6.891624818,107.8097272
59,서울특별시 중랑구 봉화산로27길 32,중랑구,127.0837949,37.6036519,,9.748019259,2.976249753,4.147403246,1.345653558,105.3820471,17.1558039,8.307519332,60.96338895
60,서울특별시 중랑구 봉화산로 216,중랑구,127.0964595,37.6067266,,9.21453648,,1.15406151,12.17648404,55.25004558,15.29540622,5.421822891,109.8841552
61,서울특별시 중랑구 봉화산로 193,중랑구,127.0942125,37.6073321,,9.257703254,,1.054550431,10.14826522,48.70377798,13.532784,4.273274202,103.1150515
62,서울특별시 중랑구 봉화산로 153,중랑구,127.0911463,37.6053662,,9.035248924,,,4.212249791,67.00884248,16.08526039,6.16640934,92.34208442
63,서울특별시 중랑구 봉화산로 146,중랑구,126.9764363,37.4886826,,8.528736909,2.818658952,5.209087013,1.510541308,116.9330682,7.407115996,4.119072195,76.76358596
64,서울특별시 중랑구 면목로37길 58,중랑구,127.0829987,37.5801261,,6.593786423,,3.198026594,7.237333365,95.29111734,10.94299788,2.825702865,68.23316879
65,서울특별시 중랑구 망우로75길 19,중랑구,127.1049598,37.6023636,,8.246764533,,,2.225840476,57.27904681,10.38186951,9.234493262,59.64386839
66,서울특별시 중랑구 망우로 504-7,중랑구,127.1084773,37.5999879,,5.86984075,,,1.022784427,37.168998,7.033663611,7.044198257,32.04141198
67,서울특별시 중랑구 망우로 353,중랑구,127.0903793,37.5980973,2.285361351,6.737412498,2.393078774,2.165273753,8.21550825,142.7870029,15.84823781,5.786421594,80.27612369
68,서울특별시 중랑구 망우로 346,중랑구,127.0912331,37.5972558,3.135777821,7.316578087,1.304806453,1.944652,8.009225934,148.0674997,14.90022644,5.44084267,80.54322545
69,서울특별시 중랑구 동일로92길 40,중랑구,127.081924,37.582679,,7.665388898,,2.822523829,5.65224268,104.2960356,12.23226907,2.255986834,64.16457085
70,서울특별시 중랑구 동일로91길 23,중랑구,127.078897,37.58231,,8.548827903,1.300409497,1.1661053,3.744042787,91.03397337,11.99488913,2.855253274,66.60707131
71,서울특별시 중랑구 동일로169길 41,중랑구,127.0747746,37.613353,,7.224186925,1.020986391,7.271667567,,105.6063092,8.505983138,3.379884578,84.7541288
72,서울특별시 중랑구 동일로157길 70,중랑구,127.0737502,37.6105575,,8.195725077,,5.634103651,,95.3163084,9.668182153,3.74199176,72.4581479
73,서울특별시 중랑구 동일로136길 15,중랑구,127.0801746,37.60255682,,9.791611003,4.026187707,4.877720599,2.28634417,114.5172861,16.9170831,6.381078658,53.80988042
74,서울특별시 중랑구 동일로 941,중랑구,127.0761342,37.6146204,,6.60459716,1.067187466,8.336875843,1.081733782,109.7332553,9.480312773,2.685269454,89.11040685
75,서울특별시 중랑구 동일로 932,중랑구,127.0775593,37.6138498,,6.47155545,,7.165121038,,105.69377,8.84118983,3.970283929,84.89498285
76,서울특별시 중랑구 동일로 752,중랑구,127.0825323,37.5973448,,8.384298814,7.001997178,4.94996686,6.033696285,152.1601106,20.24562119,4.239889503,70.96490766
77,서울특별시 중랑구 동일로 501,중랑구,127.0796017,37.5752236,,7.5839071,2.574744119,2.404108973,5.202307308,87.80250864,12.29832744,3.656325411,85.96034225
